Restaurant ID,City,Country,Latitude,Longitude,region_cluster
17580704,Pensacola,United States,30.4116106,-87.2150874,1
17579928,Pensacola,United States,30.4473322,-87.2080932,1
17579992,Pensacola,United States,30.4101,-87.2092,1
17580030,Pensacola,United States,30.411878,-87.2153054,1
17580074,Pensacola,United States,30.4767,-87.2252,1
17580020,Pensacola,United States,30.407358,-87.211082,1
17580350,Pensacola,United States,30.4692,-87.214,1
17580408,Pensacola,United States,30.3359,-87.143,1
17579653,Pensacola,United States,30.335521,-87.142602,1
17580476,Pensacola,United States,30.334776,-87.132932,1
17580422,Pensacola,United States,30.327864,-87.164376,1
17580539,Pensacola,United States,30.34262,-87.149178,1
17580511,Pensacola,United States,30.3199824,-87.4218962,1
17580021,Pensacola,United States,30.308468,-87.427707,1
16604370,Phillip Island,Australia,-38.448307,145.237813,3
17582467,Pocatello,United States,43.1903,-112.3415,1
17582668,Pocatello,United States,42.910518,-112.461326,1
17582498,Pocatello,United States,42.62,-112.0132,1
17582499,Pocatello,United States,42.6192,-112.0127,1
17582522,Pocatello,United States,42.8661,-112.4423,1
17582524,Pocatello,United States,42.8919,-112.4516,1
17582527,Pocatello,United States,42.8928,-112.441,1
17582551,Pocatello,United States,42.8631,-112.4397,1
17582558,Pocatello,United States,42.8604,-112.4365,1
17582560,Pocatello,United States,42.8639,-112.4524,1
17582677,Pocatello,United States,42.878077,-112.459988,1
17582670,Pocatello,United States,42.860024,-112.443213,1
17582625,Pocatello,United States,42.9012,-112.432,1
17582627,Pocatello,United States,42.8942,-112.4433,1
17582700,Pocatello,United States,42.88245,-112.452013,1
17582664,Pocatello,United States,42.863969,-112.45253,1
17582682,Pocatello,United States,42.861871,-112.450106,1
17582669,Pocatello,United States,42.8585987,-112.4413856,1
18491935,Pocatello,United States,42.891174,-112.44853,1
17582546,Pocatello,United States,42.8774,-112.4419,1
17629582,Potrero,United States,32.613431,-116.704731,1
17211719,Princeton,United States,40.352385,-74.651139,1
17144717,Rest of Hawaii,United States,21.677078,-157.948486,1
17143970,Rest of Hawaii,United States,19.642752,-155.997362,1
17142698,Rest of Hawaii,United States,21.284586,-157.813432,1
17144991,Rest of Hawaii,United States,20.748838,-156.455284,1
17142519,Rest of Hawaii,United States,20.731487,-156.451847,1
17145408,Rest of Hawaii,United States,20.6883746,-156.4309473,1
17143336,Rest of Hawaii,United States,20.733554,-156.452556,1
17145077,Rest of Hawaii,United States,20.885226,-156.674835,1
17141447,Rest of Hawaii,United States,20.886564,-156.684967,1
17142096,Rest of Hawaii,United States,20.992316,-156.667037,1
17142297,Rest of Hawaii,United States,20.921347,-156.693821,1
17142535,Rest of Hawaii,United States,20.876127,-156.680666,1
17142792,Rest of Hawaii,United States,20.929622,-156.366445,1
17145495,Rest of Hawaii,United States,21.279476,-157.825979,1
17143950,Rest of Hawaii,United States,21.2794952,-157.8312476,1
17142747,Rest of Hawaii,United States,21.271826,-157.822716,1
17141990,Rest of Hawaii,United States,21.277583,-157.827196,1
